X,Y,TYPE,SPEED,DirType,Direction
-44.403851,-20.389380,8,0,2,138
-42.794821,-5.147341,8,0,1,26
-54.474647,-16.604239,8,0,1,298
-56.513467,-12.745727,8,0,1,150
-52.702992,-26.906960,8,0,1,186
-39.862931,-18.684017,8,0,2,163
-48.864092,-27.039230,8,0,1,50
-43.809125,-19.976270,8,0,1,201
-44.342835,-20.389660,8,0,1,115
-42.796097,-5.133165,8,0,1,163
-54.474657,-16.604267,8,0,1,117
-56.518112,-12.738405,8,0,1,327
-52.742661,-26.721430,8,0,2,12
-39.959123,-18.904479,8,0,2,25
-35.232955,-7.095356,8,0,1,317
-43.809097,-19.976295,8,0,1,21
-44.342671,-20.389736,8,0,1,115
-42.781631,-5.116400,8,0,1,65
-45.613995,-23.027476,8,0,1,265
-56.518241,-12.738467,8,0,1,147
-38.878007,-12.375624,8,0,2,32
-40.095704,-19.201100,8,0,2,180
-35.469105,-6.887188,8,0,1,319
-43.807215,-19.968704,8,0,1,193
-44.342829,-20.389643,8,0,1,294
-42.781661,-5.116328,8,0,1,245
-45.603600,-23.026785,8,0,1,270
-42.248866,-21.977001,8,0,2,68
-52.830921,-26.447701,8,0,2,153
-40.095305,-19.205104,8,0,2,174
-35.413191,-6.958753,8,0,2,321
-43.807188,-19.968730,8,0,1,11
-44.342663,-20.389723,8,0,1,294
-42.781167,-5.116179,8,0,1,65
-45.605643,-23.027049,8,0,1,89
-46.523290,-22.579319,8,0,2,111
-52.833644,-26.444720,8,0,2,132
-40.095015,-19.207937,8,0,2,174
-35.308943,-7.057514,8,0,1,291
-43.811886,-19.979894,8,0,1,216
-44.339717,-20.390657,8,0,2,146
-42.781205,-5.116107,8,0,1,245
-54.645772,-16.490988,8,0,1,313
-46.516064,-22.587222,8,0,2,7
-52.837164,-26.441474,8,0,2,135
-40.067223,-19.335248,8,0,2,153
-35.308957,-7.057536,8,0,1,111
-43.811862,-19.979927,8,0,1,24
-41.947801,-18.894976,8,0,2,10
-42.772848,-5.112204,8,0,1,65
-45.632332,-23.040115,8,0,1,352
-46.516145,-22.587878,8,0,2,7
-52.858655,-26.352220,8,0,2,40
-40.063926,-19.353923,8,0,2,6
-47.167080,-23.534162,8,0,1,68
-43.807493,-19.970163,8,0,1,191
-47.132561,-23.649482,8,0,2,102
-42.772886,-5.112150,8,0,1,239
-45.632406,-23.040119,8,0,1,171
-46.516309,-22.589270,8,0,2,7
-52.695318,-26.240237,8,0,0,42
-40.359444,-19.730626,8,0,2,30
-47.168788,-23.534772,8,0,1,247
-43.807468,-19.970173,8,0,1,17
-47.133444,-23.649351,8,0,1,99
-42.771571,-5.111538,8,0,1,55
-45.619778,-23.030326,8,0,1,261
-46.523846,-22.602552,8,0,2,48
-52.687245,-26.196755,8,0,2,148
-40.369340,-19.829262,8,0,1,240
-47.168756,-23.534819,8,0,1,67
-43.443304,-20.397217,8,0,0,52
-44.404889,-22.934937,8,0,2,109
-42.771601,-5.111485,8,0,1,237
-45.622553,-23.030686,8,0,1,88
-46.530533,-22.611612,8,0,2,25
-52.689907,-26.188973,8,0,2,165
-39.958549,-18.903317,8,0,2,25
-35.239493,-7.085853,8,0,2,294
-43.437639,-20.395748,8,0,0,56
-44.412900,-21.243898,8,0,2,87
-42.760933,-5.090728,8,0,1,207
-45.625459,-23.030925,8,0,1,85
-46.531152,-22.613383,8,0,2,6
-52.698003,-26.160136,8,0,2,154
-52.702344,-26.267319,8,0,2,79
-35.243627,-7.083958,8,0,2,294
-43.436122,-20.394176,8,0,0,48
-46.182158,-22.282677,8,0,1,60
-42.760887,-5.090749,8,0,1,27
-45.625007,-23.030812,8,0,1,265
-46.533301,-22.619762,8,0,0,29
-52.819351,-25.952021,8,0,2,152
-60.159019,-12.733826,8,0,2,103
-47.187704,-23.536565,8,0,1,298
-43.224814,-19.682893,8,0,2,23
-46.184220,-22.283784,8,0,1,62
-41.610178,-4.395089,8,0,2,112
-45.631927,-23.042575,8,0,1,352
-46.534008,-22.621270,8,0,0,12
-52.829323,-25.930494,8,0,2,124
-60.529846,-13.118540,8,0,1,262
-47.187725,-23.536592,8,0,1,118
-43.226397,-19.684920,8,0,2,56
-46.182304,-22.282131,8,0,1,240
-42.181236,-4.836442,8,0,2,59
-54.619468,-16.508413,8,0,0,124
-46.542665,-22.901430,8,0,2,7
-52.980255,-25.816454,8,0,2,108
-60.544993,-13.133946,8,0,2,179
-35.245395,-7.083159,8,0,2,294
-45.385379,-22.483098,8,0,2,183
-41.981300,-18.845181,8,0,1,155
-41.624422,-4.389960,8,0,2,98
-46.402951,-23.637923,8,0,1,258
-46.543332,-22.903377,8,0,2,22
-53.037125,-25.791367,8,0,2,74
-60.545024,-13.135518,8,0,2,179
-35.315693,-7.054914,8,0,1,291
-45.735288,-22.702112,8,0,2,126
-41.981190,-18.845090,8,0,1,334
-42.177037,-4.839911,8,0,1,139
-45.632196,-23.040996,8,0,1,352
-46.544716,-22.965519,8,0,1,207
-52.812107,-25.986539,8,0,2,177
-52.567259,-25.981418,8,0,2,97
-35.315717,-7.054940,8,0,1,111
-45.385650,-22.483785,8,0,0,15
-41.979955,-18.847444,8,0,1,335
-41.775292,-3.051429,8,0,2,190
-46.402942,-23.637945,8,0,1,79
-42.367518,-22.022317,8,0,0,126
-49.277766,-16.599205,8,0,1,33
-52.570238,-25.980109,8,0,2,99
-35.318686,-7.053251,8,0,2,306
-44.004834,-20.314634,8,0,0,97
-41.980098,-18.847475,8,0,1,154
-42.173330,-4.839842,8,0,1,58
-46.793623,-23.208267,8,0,1,159
-48.766761,-27.265631,8,0,2,95
-52.568511,-26.007997,8,0,2,22
-52.574004,-25.978663,8,0,2,148
-35.321899,-7.050559,8,0,2,316
-45.728622,-22.706539,8,0,0,126
-43.816579,-20.556219,8,0,2,100
-41.775833,-3.054308,8,0,2,10
-46.792623,-23.210213,8,0,1,338
-52.303805,-27.150577,8,0,1,261
-52.561215,-26.001884,8,0,2,4
-52.563296,-25.983611,8,0,2,136
-35.456233,-6.905977,8,0,2,327
-45.731399,-22.704683,8,0,2,126
-43.817585,-20.556061,8,0,2,99
-41.776681,-3.058797,8,0,2,190
-46.204902,-23.509683,8,0,1,19
-49.011306,-26.612221,8,0,1,30
-52.561057,-26.000756,8,0,2,13
-52.556497,-25.989345,8,0,1,303
-35.456779,-6.905120,8,0,2,327
-45.733216,-22.703475,8,0,2,126
-44.083012,-20.924565,8,0,2,53
-42.168078,-4.835753,8,0,1,37
-46.204235,-23.509419,8,0,1,255
-56.881167,-21.737979,8,0,1,55
-43.616511,-19.328194,8,0,0,40
-54.243544,-24.085041,8,0,2,150
-35.457231,-6.904420,8,0,2,327
-42.135865,-22.025371,8,0,2,39
-44.080397,-20.921201,8,0,2,8
-41.489597,-2.962834,8,0,1,338
-46.201472,-23.509294,8,0,1,81
-56.881207,-21.737940,8,0,1,235
-43.620611,-19.332587,8,0,1,64
-51.905959,-27.374255,8,0,2,72
-35.457744,-6.903611,8,0,2,327
-42.135283,-22.024722,8,0,2,40
-44.079613,-20.919470,8,0,2,31
-42.163955,-4.830784,8,0,2,18
-46.200193,-23.508380,8,0,1,241
-56.879833,-21.736780,8,0,1,40
-43.631449,-19.336625,8,0,1,77
-51.904892,-27.373226,8,0,2,43
-35.476167,-6.879093,8,0,0,135
-44.086456,-19.765135,8,0,1,29
-44.077645,-20.918044,8,0,2,62
-41.491400,-2.958433,8,0,2,158
-46.193667,-23.503344,8,0,1,30
-56.879865,-21.736753,8,0,1,220
-43.631418,-19.336537,8,0,1,263
-51.903380,-27.371907,8,0,2,49
-35.489091,-6.868120,8,0,2,310
-44.085360,-19.764570,8,0,1,67
-43.854235,-20.564139,8,0,2,10
-42.162853,-4.828050,8,0,1,25
-46.186243,-23.499422,8,0,1,56
-57.878683,-21.698458,8,0,1,287
-43.916219,-19.565187,8,0,2,55
-51.901881,-27.370804,8,0,2,50
-35.491398,-6.866240,8,0,2,309
-42.134486,-22.023696,8,0,2,32
-43.939210,-20.621304,8,0,1,278
-41.252094,-3.076954,8,0,2,192
-46.183141,-23.499634,8,0,1,111
-57.878701,-21.698491,8,0,1,107
-43.918245,-19.571529,8,0,2,7
-51.900585,-27.369868,8,0,2,50
-35.493291,-6.864641,8,0,2,311
-42.133855,-22.023097,8,0,2,59
-43.955137,-20.627783,8,0,1,303
-41.256924,-3.078000,8,0,2,127
-46.181252,-23.500187,8,0,1,290
-56.158829,-21.480117,8,0,1,286
-43.625094,-19.335015,8,0,1,59
-51.907864,-27.374045,8,0,2,112
-35.495046,-6.862909,8,0,2,320
-44.084258,-19.764330,8,0,1,78
-43.955156,-20.627800,8,0,1,127
-41.973222,-4.558170,8,0,0,17
-46.162598,-23.501727,8,0,1,248
-56.158843,-21.480145,8,0,1,106
-43.626292,-19.335714,8,0,1,60
-51.778888,-27.404048,8,0,2,101
-35.496195,-6.859080,8,0,2,0
-44.083521,-19.763756,8,0,1,34
-44.059468,-20.738468,8,0,0,158
-40.142563,-3.314819,8,0,2,198
-46.137652,-23.477764,8,0,1,54
-49.176434,-17.632068,8,0,1,347
-54.656431,-22.217650,8,0,2,49
-51.778121,-27.404225,8,0,2,114
-43.902427,-19.777115,8,0,1,293
-43.480809,-20.300511,8,0,0,156
-44.058476,-20.740888,8,0,2,158
-40.122143,-3.229813,8,0,2,169
-46.137675,-23.477730,8,0,1,233
-56.152412,-21.481841,8,0,1,285
-54.655827,-22.217191,8,0,2,49
-51.775835,-27.404406,8,0,2,97
-43.902438,-19.777137,8,0,1,113
-44.003651,-20.314454,8,0,0,52
-44.073536,-20.912895,8,0,2,73
-40.122421,-3.228463,8,0,2,168
-46.136511,-23.476964,8,0,1,233
-56.152424,-21.481852,8,0,1,105
-54.653456,-22.215348,8,0,2,48
-51.773377,-27.405176,8,0,2,133
-43.904530,-19.777397,8,0,1,238
-39.466411,-6.100447,8,0,1,68
-44.075000,-20.913609,8,0,2,12
-40.121167,-3.226220,8,0,2,78
-46.136500,-23.476990,8,0,1,54
-56.142206,-21.482247,8,0,2,63
-54.652590,-22.214683,8,0,2,50
-51.773177,-27.406996,8,0,2,175
-45.449101,-23.884589,8,0,2,41
-39.467575,-6.100933,8,0,1,68
-44.075341,-20.915893,8,0,2,15
-40.082205,-3.224457,8,0,1,97
-46.131460,-23.473754,8,0,0,69
-56.134482,-21.472792,8,0,1,33
-54.649908,-22.213135,8,0,2,144
-51.772494,-27.409624,8,0,2,174
-45.448882,-23.884057,8,0,2,13
-39.266751,-5.913755,8,0,2,207
-43.952275,-20.628353,8,0,1,55
-39.915669,-3.270321,8,0,1,112
-46.131842,-23.473889,8,0,0,65
-56.134506,-21.472764,8,0,1,213
-54.648972,-22.214245,8,0,2,141
-54.243090,-24.079110,8,0,2,16
-45.448095,-23.883377,8,0,2,38
-39.248759,-5.879082,8,0,2,238
-43.952300,-20.628305,8,0,1,235
-39.513029,-3.308370,8,0,2,12
-46.026981,-23.365984,8,0,1,30
-56.132453,-21.469869,8,0,1,35
-52.678959,-28.059181,8,0,1,164
-54.242604,-24.077639,8,0,2,16
-45.435879,-23.871245,8,0,2,70
-39.246919,-5.877650,8,0,2,215
-43.950044,-20.626041,8,0,1,58
-41.972123,-4.554628,8,0,2,17
-46.025696,-23.364408,8,0,1,241
-56.132482,-21.469847,8,0,1,215
-52.679337,-28.058046,8,0,1,161
-40.580263,-19.531723,8,0,1,290
-45.435040,-23.870877,8,0,2,44
-39.247246,-5.802104,8,0,1,349
-43.948172,-20.624861,8,0,1,66
-39.513504,-3.310277,8,0,2,18
-48.936955,-16.258179,8,0,0,12
-55.635788,-12.614584,8,0,0,114
-52.680442,-28.055591,8,0,1,157
-40.580209,-19.531624,8,0,1,301
-45.434514,-23.870167,8,0,2,36
-39.244492,-5.794767,8,0,2,79
-43.948181,-20.624817,8,0,1,250
-41.971737,-4.553401,8,0,2,17
-47.076363,-23.655788,8,0,2,61
-55.638373,-12.613370,8,0,0,114
-54.809955,-22.259131,8,0,2,89
-54.013701,-24.479689,8,0,2,70
-45.430648,-23.865823,8,0,2,34
-39.243408,-5.807254,8,0,2,110
-43.945122,-20.624376,8,0,1,65
-40.265196,-3.808709,8,0,1,327
-47.078606,-23.656888,8,0,2,63
-55.710717,-12.572578,8,0,1,306
-54.821716,-22.259199,8,0,2,89
-54.012521,-24.479296,8,0,2,70
-45.425560,-23.862033,8,0,2,90
-39.246694,-5.798694,8,0,2,187
-43.945135,-20.624346,8,0,1,244
-40.269060,-3.803008,8,0,2,145
-48.864058,-27.039098,8,0,1,230
-55.926526,-13.068763,8,0,1,229
-54.825030,-22.259227,8,0,2,89
-53.958264,-24.469440,8,0,1,44
-45.416843,-23.859129,8,0,2,42
-45.172946,-22.800023,8,0,2,175
-43.942882,-20.623144,8,0,1,59
-41.945003,-4.464949,8,0,1,28
-54.334270,-20.485545,8,0,0,139
-51.115527,-29.381426,8,0,1,211
-53.604210,-28.672509,8,0,2,110
-53.958339,-24.469361,8,0,1,224
-45.415918,-23.858123,8,0,2,39
-44.074750,-19.754870,8,0,2,40
-43.942896,-20.623109,8,0,1,241
-39.905383,-3.274970,8,0,1,326
-52.906226,-20.448333,8,0,0,61
-51.115428,-29.381493,8,0,1,31
-53.630577,-28.649514,8,0,2,160
-53.952779,-24.464221,8,0,1,45
-45.415575,-23.857772,8,0,2,39
-44.074028,-19.754047,8,0,2,40
-43.937282,-20.622034,8,0,1,118
-40.276959,-3.792572,8,0,2,131
-52.907243,-20.448853,8,0,0,61
-51.117579,-29.382844,8,0,1,244
-53.630243,-28.650318,8,0,2,159
-53.952835,-24.464174,8,0,1,225
-45.413855,-23.855861,8,0,2,39
-44.076729,-19.757064,8,0,2,40
-43.937271,-20.622009,8,0,1,297
-41.941653,-4.458760,8,0,1,220
-52.804891,-20.481772,8,0,1,101
-51.117543,-29.382926,8,0,1,64
-45.773950,-22.262776,8,0,2,16
-51.908330,-27.432033,8,0,2,100
-45.412916,-23.854767,8,0,2,39
-44.075527,-19.755732,8,0,2,40
-43.951711,-20.627594,8,0,1,210
-41.940618,-4.457543,8,0,1,223
-52.804875,-20.481737,8,0,1,281
-51.106748,-29.372168,8,0,1,209
-49.322966,-16.373476,8,0,2,17
-51.906904,-27.431972,8,0,2,86
-45.405663,-23.845948,8,0,2,35
-42.025880,-22.841766,8,0,1,208
-43.927736,-20.617435,8,0,1,64
-41.937424,-4.454918,8,0,1,242
-52.806267,-20.481508,8,0,1,101
-51.106655,-29.372221,8,0,1,28
-49.277323,-16.598371,8,0,1,219
-51.905882,-27.431899,8,0,2,86
-45.405079,-23.845199,8,0,2,34
-42.025840,-22.841779,8,0,1,28
-43.927757,-20.617385,8,0,1,244
-41.564973,-4.091131,8,0,0,42
-52.806254,-20.481476,8,0,1,281
-45.781607,-22.358218,8,0,2,6
-45.784625,-22.351125,8,0,2,149
-52.827338,-25.931661,8,0,2,121
-45.404446,-23.844301,8,0,2,31
-42.022702,-22.840170,8,0,1,269
-43.939229,-20.621339,8,0,1,94
-41.563181,-4.089111,8,0,0,42
-54.333398,-20.486509,8,0,0,139
-45.777460,-22.364986,8,0,2,155
-49.315171,-16.372300,8,0,2,108
-52.905013,-25.883721,8,0,1,318
-45.390830,-23.830733,8,0,2,63
-42.022108,-22.840158,8,0,1,269
-46.930574,-19.585982,8,0,1,46
-41.561390,-4.087102,8,0,0,42
-50.371231,-20.642563,8,0,2,81
-56.491063,-15.236971,8,0,1,121
-49.313259,-16.372479,8,0,2,78
-52.905068,-25.883765,8,0,1,137
-45.390346,-23.830522,8,0,2,65
-42.019056,-22.838917,8,0,1,197
-46.929772,-19.585064,8,0,1,226
-41.441414,-4.001737,8,0,0,71
-52.156764,-20.710980,8,0,0,113
-56.491023,-15.236943,8,0,1,302
-48.899597,-26.995892,8,0,2,122
-52.906159,-25.882618,8,0,1,318
-45.375693,-23.822369,8,0,1,79
-42.016707,-22.836538,8,0,1,226
-43.346328,-19.836264,8,0,2,109
-41.261437,-3.938337,8,0,1,46
-52.157905,-20.710513,8,0,0,113
-56.726054,-15.145553,8,0,1,78
-53.953625,-27.712512,8,0,2,139
-52.907012,-25.881904,8,0,1,137
-45.375715,-23.822275,8,0,1,260
-42.015454,-22.835440,8,0,1,226
-43.183270,-19.838733,8,0,2,107
-41.259048,-3.935527,8,0,1,37
-50.367739,-20.642022,8,0,0,81
-56.726057,-15.145525,8,0,1,259
-53.973912,-27.702875,8,0,2,144
-52.907599,-25.881221,8,0,1,318
-45.374277,-23.821914,8,0,1,253
-42.009745,-22.831141,8,0,1,221
-43.179218,-19.839893,8,0,2,109
-40.277338,-3.792247,8,0,2,131
-46.944968,-21.356204,8,0,2,207
-48.948266,-26.930763,8,0,1,82
-53.964656,-27.704951,8,0,2,90
-52.908227,-25.880719,8,0,1,137
-45.374242,-23.822005,8,0,1,73
-42.007823,-22.829187,8,0,1,45
-43.348534,-19.835515,8,0,2,110
-40.900206,-18.766608,8,0,2,50
-46.946218,-21.358837,8,0,2,205
-47.898118,-15.657206,8,0,0,128
-53.960037,-27.706168,8,0,2,130
-52.910147,-25.878848,8,0,1,136
-45.373276,-23.821622,8,0,1,253
-42.006823,-22.828055,8,0,1,224
-42.759109,-19.605654,8,0,0,31
-40.899402,-18.765730,8,0,2,32
-46.946893,-21.361120,8,0,2,187
-47.897393,-15.657733,8,0,0,128
-48.793236,-26.976077,8,0,1,42
-52.910069,-25.878828,8,0,1,318
-45.373239,-23.821710,8,0,1,73
-42.006673,-22.828052,8,0,1,43
-43.751860,-21.197284,8,0,1,132
-40.896675,-18.762342,8,0,0,25
-53.927397,-29.643977,8,0,0,147
-35.475047,-6.880326,8,0,0,137
-42.865870,-20.745834,8,0,2,34
-53.057602,-25.764547,8,0,2,145
-45.370288,-23.820741,8,0,1,249
-42.004274,-22.826034,8,0,1,50
-43.751820,-21.197264,8,0,1,310
-40.893749,-18.729280,8,0,2,64
-48.907605,-27.099512,8,0,2,63
-55.814967,-10.180987,8,0,1,174
-43.905192,-19.860741,8,0,2,169
-53.343767,-25.646548,8,0,2,173
-45.370262,-23.820778,8,0,1,69
-42.002696,-22.824903,8,0,1,53
-49.197953,-25.379678,8,0,1,38
-40.894129,-18.730439,8,0,2,148
-48.906830,-27.099127,8,0,2,63
-55.814859,-10.180945,8,0,1,355
-48.934789,-26.910167,8,0,1,249
-53.346395,-25.628716,8,0,1,172
-45.350786,-23.759181,8,0,2,3
-43.956282,-20.627116,8,0,1,100
-39.247723,-5.878420,8,0,2,69
-40.889384,-18.747575,8,0,2,60
-48.895994,-27.083173,8,0,2,11
-55.815299,-10.178701,8,0,1,173
-45.350480,-23.757105,8,0,2,28
-53.346806,-25.624878,8,0,0,174
-43.904510,-19.777411,8,0,1,58
-42.711251,-18.523496,8,0,1,102
-39.196203,-5.684175,8,0,2,299
-40.890901,-18.748405,8,0,2,61
-48.895551,-27.082044,8,0,2,30
-55.815203,-10.178701,8,0,1,354
-48.029081,-15.873110,8,0,1,332
-53.347704,-25.618094,8,0,0,175
-49.160255,-26.822948,8,0,1,142
-42.709950,-18.523752,8,0,1,102
-39.010280,-5.733095,8,0,1,78
-40.891985,-18.748971,8,0,2,61
-48.892988,-27.080359,8,0,2,62
-47.651822,-15.630734,8,0,1,2
-49.315932,-16.372050,8,0,2,108
-53.386234,-25.594394,8,0,0,144
-47.189237,-23.535836,8,0,1,300
-44.500737,-20.640979,8,0,1,151
-39.102115,-6.002449,8,0,2,208
-40.893020,-18.749620,8,0,2,48
-48.890867,-27.079410,8,0,2,65
-47.673384,-15.596859,8,0,1,246
-49.283975,-16.622273,8,0,2,4
-53.439932,-25.565863,8,0,0,99
-47.189254,-23.535853,8,0,1,128
-43.032862,-19.072491,8,0,1,192
-39.099311,-6.011374,8,0,2,200
-40.893589,-18.750396,8,0,2,17
-48.886861,-27.074841,8,0,2,35
-52.858991,-27.073016,8,0,2,96
-42.801138,-22.903065,8,0,1,272
-53.441592,-25.565611,8,0,2,99
-48.478116,-1.369808,8,0,2,18
-43.032814,-19.072268,8,0,1,192
-39.100953,-6.045079,8,0,2,316
-40.890712,-18.760612,8,0,1,160
-48.878672,-27.064593,8,0,1,24
-52.864937,-27.072461,8,0,2,99
-42.801685,-22.903200,8,0,1,92
-54.211278,-24.560934,8,0,2,92
-46.753242,-23.161306,8,0,2,53
-43.032912,-19.072704,8,0,1,190
-49.098369,-16.489895,8,0,1,44
-40.887841,-18.760670,8,0,2,61
-48.878677,-27.064480,8,0,1,204
-52.990227,-27.073644,8,0,2,5
-44.268342,-21.140030,8,0,2,61
-54.207840,-24.561082,8,0,2,92
-46.755337,-23.162761,8,0,2,52
-43.032762,-19.072303,8,0,1,12
-49.097345,-16.488882,8,0,1,44
-40.886873,-18.759699,8,0,2,38
-48.869767,-27.043751,8,0,1,21
-53.002605,-27.086890,8,0,1,234
-45.683196,-19.782805,8,0,2,86
-54.086305,-24.556985,8,0,2,95
-46.721324,-23.101678,8,0,1,16
-44.061638,-20.669950,8,0,1,145
-44.987501,-21.264390,8,0,1,72
-40.885880,-18.758523,8,0,2,39
-48.868523,-27.042488,8,0,1,50
-53.154475,-27.074390,8,0,2,72
-47.086196,-20.315661,8,0,0,19
-53.492034,-25.542799,8,0,0,85
-46.722001,-23.103067,8,0,1,188
-43.032999,-19.073114,8,0,1,192
-44.987523,-21.264337,8,0,1,252
-40.884486,-18.756902,8,0,2,38
-42.703368,-22.942848,8,0,1,77
