X,Y,TYPE,SPEED,DirType,Direction
-44.181474,-19.994703,1,40,1,168
-36.489716,-8.923065,1,40,0,174
-39.580015,-16.350036,1,40,1,354
-45.409446,-23.814323,1,40,1,356
-49.255081,-25.531187,1,40,1,70
-37.441233,-11.261322,1,40,2,9
-45.651269,-23.776324,1,40,2,56
-38.415074,-12.162086,1,40,2,55
-44.131087,-19.947186,1,40,1,279
-45.545532,-23.029438,1,40,2,54
-39.586332,-16.386207,1,40,1,208
-45.409498,-23.813766,1,40,1,183
-49.255069,-25.530985,1,40,1,250
-45.015414,-12.132057,1,40,0,150
-51.127826,-30.040167,1,40,1,79
-49.274034,-25.437981,1,40,1,155
-46.742302,-19.198352,1,40,1,153
-60.595521,2.616213,1,40,0,177
-46.346613,-23.527348,1,40,2,58
-46.576488,-23.613167,1,40,1,90
-54.771364,-20.480540,1,40,1,60
-55.529502,-11.839723,1,40,1,301
-51.125825,-30.039693,1,40,1,255
-39.284287,-12.978712,1,40,2,47
-46.741388,-19.200121,1,40,1,333
-60.918378,2.454708,1,40,0,2
-37.622170,-9.930263,1,40,2,153
-46.559217,-23.621941,1,40,1,270
-45.415839,-23.622933,1,40,1,267
-48.311616,-10.235734,1,40,1,2
-41.710281,-3.930919,1,40,1,283
-39.291137,-12.985013,1,40,2,35
-48.631282,-1.669989,1,40,0,123
-60.698281,2.877708,1,40,2,171
-39.556904,-16.580014,1,40,1,166
-49.520769,-25.446749,1,40,1,179
-45.414165,-23.626007,1,40,1,146
-48.311509,-10.224500,1,40,1,182
-49.375070,-20.805998,1,40,1,45
-39.319524,-13.173890,1,40,1,270
-48.594154,-1.498668,1,40,0,10
-54.678965,-20.548077,1,40,0,112
-44.262523,-2.628080,1,40,1,35
-48.458604,-1.371141,1,40,1,208
-49.339757,-25.424167,1,40,1,342
-39.325169,-14.836908,1,40,2,46
-52.416197,-26.874739,1,40,2,95
-49.222724,-25.389970,1,40,2,250
-48.656704,-1.520706,1,40,0,84
-48.869538,-26.285608,1,40,2,107
-49.336401,-25.420297,1,40,1,275
-48.459288,-1.372748,1,40,1,24
-49.339443,-25.423462,1,40,1,220
-39.334630,-14.843245,1,40,2,69
-52.425814,-26.877371,1,40,1,276
-49.221189,-25.390490,1,40,2,120
-48.700136,-1.521932,1,40,1,79
-46.661470,-23.636962,1,40,1,207
-49.337205,-25.419749,1,40,1,162
-40.826341,-18.390034,1,40,0,164
-49.202437,-25.420637,1,40,1,336
-49.305015,-25.387283,1,40,1,95
-52.425814,-26.877432,1,40,1,96
-46.949658,-19.615660,1,40,0,240
-48.700162,-1.521801,1,40,1,259
-44.179910,-19.966273,1,40,1,266
-48.050567,-15.913215,1,40,1,163
-49.265965,-25.425120,1,40,1,339
-49.234635,-25.397816,1,40,1,231
-49.304660,-25.387196,1,40,1,275
-46.840461,-23.215996,1,40,1,183
-49.239528,-25.427282,1,40,1,275
-47.986647,-15.811245,1,40,1,279
-45.723167,-23.758312,1,40,1,310
-49.330440,-25.427061,1,40,1,273
-49.223170,-25.412491,1,40,1,156
-49.235812,-25.398605,1,40,1,55
-48.336994,-10.208366,1,40,1,165
-46.840658,-23.221364,1,40,1,18
-49.325062,-25.424082,1,40,1,160
-48.854544,-26.284414,1,40,1,267
-46.329300,-23.473901,1,40,1,145
-49.201307,-25.525579,1,40,1,20
-49.250419,-25.367360,1,40,1,188
-49.272171,-25.389375,1,40,2,188
-48.336776,-10.208949,1,40,1,359
-40.706138,-20.831766,1,40,0,66
-49.325216,-25.426894,1,40,1,184
-67.794727,-10.011464,1,40,1,270
-46.592405,-23.715145,1,40,1,172
-55.725864,-12.538655,1,40,1,303
-37.080763,-10.909171,1,40,1,278
-48.049829,-15.914841,1,40,1,343
-40.185271,-10.446849,1,40,2,157
-40.923095,-19.508408,1,40,1,273
-49.311620,-25.412606,1,40,1,141
-56.081873,-15.626730,1,40,1,113
-48.853556,-26.274701,1,40,1,267
-49.200954,-25.524235,1,40,1,196
-37.081065,-10.909246,1,40,1,98
-49.267203,-25.437931,1,40,1,71
-59.233704,-15.321018,1,40,1,134
-45.404650,-23.618450,1,40,1,123
-57.723316,-16.037071,1,40,0,147
-56.082364,-15.626416,1,40,1,290
-48.854013,-26.274774,1,40,1,87
-48.821824,-26.383840,1,40,1,320
-59.988439,-3.135798,1,40,1,189
-43.656739,-22.645992,1,40,2,111
-59.228974,-15.324180,1,40,1,312
-45.404450,-23.618432,1,40,1,303
-47.337397,-23.403113,1,40,1,213
-46.479677,-23.697436,1,40,1,226
-46.546374,-23.689098,1,40,1,200
-49.447776,-16.741353,1,40,1,327
-50.594566,-29.836263,1,40,0,73
-46.754377,-23.610917,1,40,1,338
-38.399829,-12.121478,1,40,1,233
-45.547405,-23.799195,1,40,0,51
-54.659536,-16.462553,1,40,1,157
-53.422562,-24.973578,1,40,2,64
-46.546423,-23.689356,1,40,1,26
